
"F(x) = Serie de Fourier - Square wave"
,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,,,,
x,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,a0,x,F(X),f(x)
-1.2416,-1.204869716764,0,0.233726010812675,0,0.0191277483786468,0,-0.121782009383134,0,0.139215056411437,0,-0.102691956826143,0,0.0410813299258262,0,0.0189838519357696,0,-0.0579135780443578,0,0.066985479641691,0,-0.0489933055152129,0,0.0154297191904626,0,0.0186980075875303,0,-0.0405321466637791,0,0.0435789285926041,0,-0.0291899109000456,0,0.00508183383609622,0,0.0182740809974927,0,-0.031878556179221,0,0.0314444002973656,0,-0.018548607027994,0,-0.000541099973458406,0,0.0177177926837201,0,-0.0263409619334059,0,0.0236979086771482,0,-0.0117438267885881,0,-0.00403226416055258,0,0.0170366259797166,0,-1.2416,-0.988979165211714,-1
-1.1416,-1.15775733425845,0,0.11859660172732,0,0.13852598976065,0,-0.180181643411115,0,0.106249138440957,0,0.00101517726048165,0,-0.0746800696460122,0,0.0838681713350096,0,-0.0396343486674068,0,-0.0198514975712726,0,0.0555653759995209,0,-0.0499254585156444,0,0.0133716673871057,0,0.0263430687836079,0,-0.043590771073039,0,0.0303661084970225,0,0.00101507314159562,0,-0.02814688142518,0,0.0339023394382232,0,-0.0167879638835316,0,-0.00971831828510035,0,0.0273402192166542,0,-0.025299121003077,0,0.00665299376658443,0,0.0148913657001669,0,-0.0248353776764328,0,0.0174748460388492,0,0.00101486492304491,0,-1.1416,-0.994215783999468,-1
-1.0416,-1.09907702317268,0,-0.0071266885798646,0,0.224008237586455,0,-0.153839035127008,0,-0.00712400926129949,0,0.103612917761971,0,-0.0810349922296479,0,-0.00711865243731754,0,0.0681269132659268,0,-0.0541499155388737,0,-0.00711062173275617,0,0.0510985525302862,0,-0.0401232595003237,0,-0.00709992258121948,0,0.0410707016044636,0,-0.0314897818527286,0,-0.00708656222070324,0,0.0344425896764891,0,-0.0256265941260073,0,-0.00707054968776409,0,0.0297212511686098,0,-0.0213747744795818,0,-0.00705189581024086,0,0.0261761185318161,0,-0.0181430608757959,0,-0.00703061319853664,0,0.0234074765057925,0,-0.0155982177878158,0,-1.0416,-1.00261141156835,-1
-0.9416,-1.02941509777793,0,-0.132213373021278,0,0.254645456290687,0,-0.0551435248214366,0,-0.11510584878271,0,0.0929816579923529,0,0.0313265386479457,0,-0.0848752784411313,0,0.0220787932920799,0,0.0548637030517884,0,-0.0483858366333908,0,-0.0181660220304302,0,0.0509173189801289,0,-0.0135053843512911,0,-0.0361650950695136,0,0.0325589873499752,0,0.0129806005206944,0,-0.0363611054351423,0,0.00956549114356981,0,0.0270534447371318,0,-0.0244506555001931,0,-0.0102062353870292,0,0.0282721410327215,0,-0.00730156801309491,0,-0.0216591762452124,0,0.0195205470630907,0,0.008478162460207,0,-0.0231228358811198,0,-0.9416,-1.01083419482853,-1
-0.8416,-0.949467597005566,0,-0.24548983061534,0,0.222936586224192,0,0.0694868468489998,0,-0.135977876757877,0,-0.0192606789038695,0,0.0977946170160246,0,-0.00488902693806764,0,-0.0738163751786737,0,0.0186761899465924,0,0.0559654240171012,0,-0.0268913827684529,0,-0.0414609105430704,0,0.0315196060996904,0,0.0291588870978473,0,-0.033571875584598,0,-0.0185495986102052,0,0.0336586110075603,0,0.00940160744163297,0,-0.0322073892613904,0,-0.0016116065887172,0,0.029556075865931,0,-0.00486740133098349,0,-0.0259952051940848,0,0.0100636523133242,0,0.0217872778293959,0,-0.0140073251339997,0,-0.0171746919818783,0,-0.8416,-1.01523339068848,-1
-0.7416,-0.860033329856188,0,-0.336837412770918,0,0.136645064664755,0,0.161436468684419,0,-0.0539445585312422,0,-0.11045479648599,0,0.0209933523472076,0,0.0841836062721774,0,-0.00305712623082973,0,-0.0669393377687772,0,-0.00812201598123498,0,0.0540001890657855,0,0.015514968572558,0,-0.0434866112528712,0,-0.0204590239591462,0,0.0345266945643711,0,0.02365410621432,0,-0.0266785572907565,0,-0.0255124982823253,0,0.019707323860452,0,0.026303435619364,0,-0.0134858660869668,0,-0.0262200855232913,0,0.00794565971069138,0,0.0254131675212186,0,-0.00305033487545939,0,-0.0240087656058206,0,-0.0012195342995196,0,-0.7416,-1.01318581770402,-1
-0.6416,-0.762005893964108,0,-0.398096312030103,0,0.0168980656121503,0,0.17745999678315,0,0.0689129261239153,0,-0.080943055653924,0,-0.0865632226924618,0,0.016798852406047,0,0.0746041629450914,0,0.0246053890802028,0,-0.0477646877578529,0,-0.0450666794697666,0,0.0166014745084387,0,0.0471104614692027,0,0.0105708256304005,0,-0.0354217927394274,0,-0.0281663041136274,0,0.0163080157568393,0,0.0338726937628704,0,0.00359502322211734,0,-0.028628082751496,0,-0.0187458279410552,0,0.0159215691090349,0,0.0257983329857919,0,-0.000583912135493896,0,-0.0240931952108857,0,-0.0126123618564158,0,0.0154461977883167,0,-0.6416,-1.00418734113305,-1
-0.5416,-0.656364747065198,0,-0.423794453366464,0,-0.10698616924295,0,0.110021315505826,0,0.139618482173894,0,0.037023884284081,0,-0.0673044736916136,0,-0.0818069986513123,0,-0.0161675450631725,0,0.0510300066122838,0,0.0563496490851957,0,0.00605350671303285,0,-0.042115299194759,0,-0.0416959003708772,0,-6.86349572741083e-05,0,0.0362556218589421,0,0.0319732047962964,0,-0.00386494353311476,0,-0.0319423670264897,0,-0.0249268108430217,0,0.00660877939842798,0,0.0285124907244244,0,0.0195076857462284,0,-0.00858487344122083,0,-0.0256309811930696,0,-0.0151630482056478,0,0.0100248261422168,0,0.0231120413001283,0,-0.5416,-0.990325751505207,-1
-0.4416,-0.544165420578952,0,-0.411636298349942,0,-0.204676458594281,0,-0.00916210958436385,0,0.10466355442431,0,0.114530836276661,0,0.05055548694506,0,-0.0283724487289016,0,-0.0704379646097622,0,-0.0576003265496568,0,-0.00913111391460722,0,0.037000066734666,0,0.0508793316250217,0,0.0282817424540554,0,-0.0104375422860406,0,-0.0370267396491432,0,-0.034979481717364,0,-0.0090693113216661,0,0.0203079512132723,0,0.0325953312411541,0,0.0210303134403517,0,-0.00410973741151912,0,-0.0241458455328761,0,-0.0255856227699224,0,-0.00897707793039608,0,0.0126306057440478,0,0.0237273745322217,0,0.0173114123948278,0,-0.4416,-0.975999492503745,-1
-0.3416,-0.426528973087453,0,-0.362707898758124,0,-0.252254812540685,0,-0.124036451375116,0,-0.00949866468431399,0,0.0668776019533613,0,0.0943515407683118,0,0.0777930233962267,0,0.0343186329218744,0,-0.0137868373694137,0,-0.0471300345043017,0,-0.0553580212151555,0,-0.0394080041946037,0,-0.00944157058994821,0,0.0203374687707245,0,0.0377338123080104,0,0.0371098563192915,0,0.0208509780057074,0,-0.00250398110940952,0,-0.0223971969850938,0,-0.0307862349356571,0,-0.0252181320204185,0,-0.00932800012215907,0,0.00921881678119068,0,0.022282309042491,0,0.0247112239021135,0,0.0162828688689329,0,0.00142410812888289,0,-0.3416,-0.967092572324735,-1
