
"F(x) = Serie de Fourier - Square wave"
,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,,,,
x,1,2,3,4,5,6,7,8,9,10,a0,x,F(X),f(x)
1.4584,1.26520563199398,0,-0.400513787056896,0,0.21548327230462,0,-0.128439502433621,0,0.0750550850135534,0,0,1.4584,1.02679069982164,1
1.5584,1.27314171731632,0,-0.424119729386784,0,0.254158922165082,0,-0.181206992424265,0,0.140591515371371,0,0,1.5584,1.06256543304173,1
1.6584,1.26835699144394,0,-0.409840319425649,0,0.230607603777237,0,-0.148750002440416,0,0.0997310898046923,0,0,1.6584,1.0401053631598,1
1.7584,1.25089926177613,0,-0.358951094337649,0,0.150595501263374,0,-0.0463335620259371,0,-0.016603836233184,0,0,1.7584,0.979606270442732,1
1.8584,1.22094296017697,0,-0.275997837038999,0,0.0337123678385159,0,0.0778742765912174,0,-0.120373310032854,0,0,1.8584,0.936158457534851,1
1.9584,1.17878740010981,0,-0.168390514948547,0,-0.091424728993144,0,0.165456626108386,0,-0.133046662627131,0,0,1.9584,0.951382119649371,1
2.0584,1.12485378599606,0,-0.0457413696669977,0,-0.194177863618387,0,0.175222139035681,0,-0.0450329534354832,0,0,2.0584,1.01512373831087,1
2.1584,1.05968100467986,0,0.0809937159376167,0,-0.249389485040104,0,0.102577942053048,0,0.0770607971148015,0,0,2.1584,1.07092397474522,1
2.2584,0.983920241048869,0,0.200493874117155,0,-0.243541862761643,0,-0.0183102639016908,0,0.14083647273437,0,0,2.2584,1.06339846123706,1
2.3584,0.898328471610109,0,0.302084511642932,0,-0.178066698659729,0,-0.130586866637699,0,0.0980299135807274,0,0,2.3584,0.98978933153634,1
2.4584,0.803760901030932,0,0.376690839427208,0,-0.0689945964326878,0,-0.181446425517921,0,-0.018963729793387,0,0,2.4584,0.911046988714145,1
2.5584,0.701162417216685,0,0.417648496405402,0,0.0569697892717468,0,-0.146968895298458,0,-0.121606000531048,0,0,2.5584,0.907205807064328,1
2.6584,0.591558150303088,0,0.421298857061841,0,0.168985983671597,0,-0.0433695971677934,0,-0.132219274469868,0,0,2.6584,1.00625411939886,1
2.7584,0.47604322989479,0,0.387315845550778,0,0.239628515676422,0,0.080627100179532,0,-0.0427716374849213,0,0,2.7584,1.1408430538166,1
2.8584,0.355771842892353,0,0.31873506308055,0,0.251601629707007,0,0.166703612479232,0,0.0790447220300946,0,0,2.8584,1.17185687018924,1
2.9584,0.231945701238271,0,0.221682626698425,0,0.201973889871714,0,0.174376811014151,0,0.141041611791103,0,0,2.9584,0.971020640613664,1
3.0584,0.105802034808472,0,0.104827941499881,0,0.102895897710159,0,0.100037870616282,0,0.0963010216305273,0,0,3.0584,0.509864766265322,1
3.1416,-9.35373998694463e-06,0,-9.35373998608307e-06,0,-9.35373998503844e-06,0,-9.35373998282531e-06,0,-9.35373998027654e-06,0,0,3.1416,-4.6768699921168e-05,1
